date,sku_name,product_id,merchant_code,merchant_badge,product_type,merchant_city,cod,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
3/29/2020,Xiaomi Redmi Note 8 PRO 6/128 grs RESMI - Biru,G216,1034,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Pusat,FALSE,3320000,1,0,0,0,100,9,29
3/27/2020,Xiaomi Redmi Note 8 Pro 6/64 Resmi TAM - Random,F1518,1379,PM,Xiaomi Redmi Note 8 Pro,Kota Surakarta,FALSE,2999000,7,0,0,12,95,4,17
3/26/2020,Xiaomi Redmi Note 8 Pro 6/128 Resmi,F1519,1846,PM,Xiaomi Redmi Note 8 Pro,Kota Semarang,FALSE,3500000,16,0,0,6,100,42,96
3/24/2020,xiaomi redmi note 8 pro 6/64 Gb,F1497,1037,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Barat,FALSE,3500000,11,0,0,3,98,19,86
3/11/2020,Redmi Note 8 Pro 6/128,F1520,952,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Timur,FALSE,3399000,999927,0,0,0,100,26,73
3/26/2020,Xiaomi Redmi Note 8 PRO 6/128 Garansi Resmi - Hijau,F1521,2406,PM,Xiaomi Redmi Note 8 Pro,Kab. Bantul,FALSE,3650000,1,3650000,1,7,100,4,15
3/25/2020,Redmi Note 8 Pro 6/128,F1520,952,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Timur,FALSE,3399000,999927,0,0,9,100,26,73
3/24/2020,Xiaomi Redmi Note 8 Pro - 6 GB / 64 GB - Garansi Resmi - Mineral Grey,E1591,932,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Barat,FALSE,2999999,6,0,0,31,100,45,117
3/26/2020,XIAOMI REDMI NOTE 8 PRO GARANSI RESMI 6GB 128GB - Hijau,F1499,2018,PM,Xiaomi Redmi Note 8 Pro,Kab. Jember,FALSE,3399000,3,0,0,4,100,16,33
3/24/2020,Xiaomi Redmi Note 8 Pro 6/128GB Garansi Resmi - Penyok Sobek,G217,2276,PM,Xiaomi Redmi Note 8 Pro,Kab. Sidoarjo,FALSE,3375000,9,0,0,6,98,11,98
3/24/2020,Xiaomi Redmi Note 8 Pro Ram 6 Rom 128 (6/128) - Garansi Resmi - Biru,G218,1076,PM,Xiaomi Redmi Note 8 Pro,Kota Administrasi Jakarta Pusat,FALSE,3310000,4,0,0,16,100,8,27
3/29/2020,XIAOMI REDMI NOTE 8 PRO 6/64 GARANSI RESMI,F1488,1298,PM,Xiaomi Redmi Note 8 Pro,Kab. Sidoarjo,FALSE,3299000,9936,0,0,10,100,10,85
3/23/2020,XIAOMI REDMI NOTE 5 A PRIME GOLD RAM 4GB INTERNAL 64GB - GARANSI 1 TH,B342,2338,PM,Xiaomi Redmi Note Prime,Kota Administrasi Jakarta Pusat,FALSE,1175000,9987,0,0,0,86,29,87
3/11/2020,Xiaomi Redmi Note 5A Prime,C591,2409,PM,Xiaomi Redmi Note Prime,Kab. Tangerang,FALSE,2500000,11,0,0,0,100,23,25
3/11/2020,NEW!!! XIAOMI REDMI NOTE 5A PRIME 3/32 16MP & 13MP - Abu-abu,D851,1498,PM,Xiaomi Redmi Note Prime,Kota Bandung,FALSE,1992000,4,0,0,0,96,31,49
3/28/2020,XIAOMI REDMI NOTE 5 A PRIME GOLD RAM 4GB INTERNAL 64GB - GARANSI 1 TH,B342,2338,PM,Xiaomi Redmi Note Prime,Kota Administrasi Jakarta Pusat,FALSE,1175000,9986,0,0,129,87,31,90
3/29/2020,XIAOMI REDMI NOTE 5 A PRIME GOLD RAM 4GB INTERNAL 64GB - GARANSI 1 TH,B342,2338,PM,Xiaomi Redmi Note Prime,Kota Administrasi Jakarta Pusat,FALSE,1175000,9986,1175000,1,97,87,31,91
3/18/2020,samsung galaxy A5,D852,2410,PM,Samsung Galaxy A5 (2016),Kota Medan,FALSE,2300000,999999,0,0,17,100,21,36
3/31/2020,SAMSUNG A6 2018,C592,1915,PM,Samsung Galaxy A6 (2018),Kota Administrasi Jakarta Pusat,FALSE,2000000,999994,0,0,46,97,7,35
3/27/2020,Samsung Galaxy A6 3+32GB SM-A600 Garansi Resmi SEIN - Random,E1592,1304,PM,Samsung Galaxy A6 (2018),Kota Pekalongan,FALSE,3000000,14,0,0,4,100,10,41
3/23/2020,Samsung Galaxy A6 3+32GB SM-A600 Garansi Resmi SEIN - Random,E1592,1304,PM,Samsung Galaxy A6 (2018),Kota Pekalongan,FALSE,3000000,14,0,0,0,100,10,41
3/31/2020,[READY] SAMSUNG A6 ORIGINAL,E1593,869,PM,Samsung Galaxy A6 (2018),Kab. Cilacap,FALSE,2492000,999922,0,0,15,100,45,77
3/25/2020,Samsung Galaxy A6 Smartphone [32 GB/3 GB],D853,2411,PM,Samsung Galaxy A6 (2018),Kota Bandung,FALSE,4000000,999969,0,0,15,100,5,65
3/24/2020,SAMSUNG A6 2018,C592,1915,PM,Samsung Galaxy A6 (2018),Kota Administrasi Jakarta Pusat,FALSE,2000000,999994,0,0,21,97,7,35
3/30/2020,[READY] SAMSUNG A6 ORIGINAL,E1593,869,PM,Samsung Galaxy A6 (2018),Kab. Cilacap,FALSE,2492000,999922,0,0,22,100,44,77
3/25/2020,SAMSUNG A6 PLUS 2018,C593,1915,PM,Samsung Galaxy A6 (2018),Kota Administrasi Jakarta Pusat,FALSE,2500000,9979,0,0,39,98,15,41
3/27/2020,SAMSUNG GALAXY A6+ A6 PLUS 2018 RAM 4GB GARANSI RESMI SEIN SAMSUNG - Hitam,D854,1054,PM,Samsung Galaxy A6 (2018),Kota Administrasi Jakarta Pusat,FALSE,2375000,9,2375000,1,47,100,6,28
3/30/2020,Samsung Galaxy A6 3+32GB SM-A600 Garansi Resmi SEIN - Random,E1592,1304,PM,Samsung Galaxy A6 (2018),Kota Pekalongan,FALSE,3000000,14,0,0,3,100,10,41
3/11/2020,Samsung Galaxy A6 Ram 3gb Garansi Indonesia,D855,2412,PM,Samsung Galaxy A6 (2018),Kota Surabaya,FALSE,2500000,999999,0,0,0,100,19,27
3/30/2020,SAMSUNG GALAXY A6 - NEW GARANSI RESMI - Random,D856,2413,PM,Samsung Galaxy A6 (2018),Kab. Sukoharjo,FALSE,2800000,1,0,0,6,100,14,132
3/11/2020,SAMSUNG GALAXY A6 2018 GARANSI RESMI SEIN - Kuning,F1522,1054,PM,Samsung Galaxy A6 (2018),Kota Administrasi Jakarta Pusat,FALSE,2299000,2,0,0,0,95,37,76
3/30/2020,SAMSUNG A7 2016 A 7 6 A710FD 16GB ORIGINAL RESMI SEIN ERAJAYA,E1594,2414,PM,Samsung Galaxy A7 (2016),Kota Administrasi Jakarta Barat,FALSE,1698000,9928,3396000,2,69,97,38,72
